Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Argentina,2020-03-31,966.0,21.26,51.0,24.0,0.02484472,,,0.0,0.0
Argentina,2020-04-01,966.0,21.26,240.0,26.0,0.02691511387163561,,,0.0,2.0
Argentina,2020-04-02,1054.0,23.2,240.0,27.0,0.025616698292220116,,,88.0,1.0
Argentina,2020-04-03,1133.0,24.93,240.0,32.0,0.028243601059135037,,,79.0,5.0
Argentina,2020-04-07,1554.0,34.58,266.0,46.0,0.0296010296010296,,,421.0,14.0
Argentina,2020-04-10,1894.0,42.15,365.0,79.0,0.04171066525871172,,,340.0,33.0
Argentina,2020-04-11,1975.0,43.95,375.0,82.0,0.04151898734177215,,,81.0,3.0
Argentina,2020-04-12,1975.0,43.95,375.0,82.0,0.04151898734177215,,,0.0,0.0
Argentina,2020-04-14,2277.0,50.67,515.0,98.0,0.04303908651734738,,,302.0,16.0
Argentina,2020-04-17,2571.0,57.21,631.0,116.0,0.04511863088292493,,,294.0,18.0
Argentina,2020-04-18,2758.0,61.37,665.0,129.0,0.046773023930384336,,,187.0,13.0
Argentina,2020-04-20,2930.0,65.2,708.0,134.0,0.04573378839590444,,,172.0,5.0
Argentina,2020-04-22,3020.0,67.2,733.0,142.0,0.047019867549668866,,,90.0,8.0
Argentina,2020-04-23,3133.0,69.72,836.0,151.0,0.04819661666134696,,,113.0,9.0
Argentina,2020-04-24,3276.0,72.9,833.0,159.0,0.048534798534798536,,,143.0,8.0
Argentina,2020-04-25,3423.0,76.17,833.0,166.0,0.048495471808355235,,,147.0,7.0
Argentina,2020-04-26,3767.0,83.83,965.0,185.0,0.049110698168303685,,,344.0,19.0
Argentina,2020-04-27,3879.0,86.32,1096.0,192.0,0.04949729311678268,,,112.0,7.0
Argentina,2020-04-28,3990.0,88.79,1129.0,197.0,0.0493734335839599,,,111.0,5.0
Argentina,2020-04-29,4114.0,91.55,1151.0,207.0,0.05031599416626155,,,124.0,10.0
Argentina,2020-04-30,4114.0,91.55,1151.0,207.0,0.05031599416626155,,,0.0,0.0
Argentina,2020-05-01,4415.0,98.0,1299.0,218.0,0.049377123442808604,,,301.0,11.0
Argentina,2020-05-02,4415.0,98.0,1299.0,218.0,0.049377123442808604,,,0.0,0.0
Argentina,2020-05-03,4519.0,101.0,1297.0,225.0,0.049789776499225495,,,104.0,7.0
Argentina,2020-05-04,4668.0,104.0,1297.0,237.0,0.05077120822622108,,,149.0,12.0
Argentina,2020-05-05,4874.0,108.0,1429.0,260.0,0.053344275748871565,,,206.0,23.0
Argentina,2020-05-06,5007.0,111.0,1459.0,264.0,0.05272618334331936,,,133.0,4.0
Argentina,2020-05-07,5195.0,116.0,1511.0,273.0,0.05255052935514918,,,188.0,9.0
Argentina,2020-05-08,5195.0,116.0,1511.0,273.0,0.05255052935514918,,,0.0,0.0
Argentina,2020-05-09,5598.0,125.0,1646.0,293.0,0.05234012147195427,,,403.0,20.0
Argentina,2020-05-10,5763.0,128.0,1715.0,300.0,0.05205622071837585,,,165.0,7.0
Argentina,2020-05-11,6008.0,134.0,1744.0,305.0,0.050765645805592535,,,245.0,5.0
Argentina,2020-05-12,6265.0,139.0,1824.0,314.0,0.050119712689545085,,,257.0,9.0
Argentina,2020-05-13,6550.0,146.0,1849.0,319.0,0.048702290076335884,,,285.0,5.0
Argentina,2020-05-15,7121.0,158.0,2372.0,353.0,0.04957168936947058,,,571.0,34.0
Argentina,2020-05-16,7121.0,158.0,2372.0,353.0,0.04957168936947058,,,0.0,0.0
Argentina,2020-05-17,7466.0,166.0,2359.0,356.0,0.04768282882400214,,,345.0,3.0
Argentina,2020-05-18,8055.0,179.0,2556.0,373.0,0.046306641837368094,,,589.0,17.0
Argentina,2020-05-19,8358.0,186.0,2612.0,382.0,0.04570471404642259,,,303.0,9.0
Argentina,2020-05-20,8783.0,195.0,2859.0,393.0,0.0447455311397017,,,425.0,11.0
,2020-05-21,,,,,,,,,
Argentina,2020-05-22,9918.0,221.0,3019.0,416.0,0.04194394031054648,,,,
Argentina,2020-05-23,10636.0,237.0,3049.0,433.0,0.04071079353140279,,,718.0,17.0
Argentina,2020-05-24,11340.0,252.0,3517.0,445.0,0.03924162257495591,,,704.0,12.0
Argentina,2020-05-25,12063.0,268.0,3719.0,452.0,0.03746994943214789,,,723.0,7.0
Argentina,2020-05-26,12615.0,281.0,3986.0,467.0,0.03701942132382085,,,552.0,15.0
Argentina,2020-05-27,13215.0,294.0,4154.0,490.0,0.037079076806659096,,,600.0,23.0
Argentina,2020-05-28,13920.0,310.0,4336.0,500.0,0.03591954022988505,,,705.0,10.0
Argentina,2020-05-29,14689.0,327.0,4604.0,508.0,0.03458370208999932,,,769.0,8.0
Argentina,2020-05-30,15406.0,343.0,4775.0,520.0,0.03375308321433208,,,717.0,12.0
Argentina,2020-05-31,16201.0,361.0,4775.0,528.0,0.03259058082834393,,,795.0,8.0
Argentina,2020-06-01,16838.0,375.0,5323.0,539.0,0.03201092766361801,,,637.0,11.0
Argentina,2020-06-02,17402.0,387.0,5508.0,556.0,0.03195035053442133,,,564.0,17.0
Argentina,2020-06-03,18306.0,407.0,5696.0,569.0,0.0311,,,904.0,13.0
Argentina,2020-06-04,19255.0,428.0,5883.0,583.0,0.0303,,,949.0,14.0
Argentina,2020-06-05,20184.0,449.0,5980.0,608.0,0.0301,,,929.0,25.0
Argentina,2020-06-06,21024.0,468.0,6075.0,632.0,0.0301,,,840.0,24.0
Argentina,2020-06-07,21024.0,468.0,6075.0,632.0,0.0301,,,0.0,0.0
Argentina,2020-06-08,22781.0,507.0,6896.0,664.0,0.0291,,,1757.0,32.0
Argentina,2020-06-09,23607.0,525.0,7292.0,693.0,0.0294,,,826.0,29.0
Argentina,2020-06-10,23607.0,525.0,7292.0,693.0,0.0294,,,0.0,0.0
Argentina,2020-06-12,25974.0,578.0,7978.0,735.0,0.0283,,,2367.0,42.0
Argentina,2020-06-13,28751.0,640.0,8730.0,785.0,0.0273,,,2777.0,50.0
Argentina,2020-06-14,30282.0,674.0,9070.0,815.0,0.0269,,,1531.0,30.0
Argentina,2020-06-15,30282.0,674.0,9070.0,815.0,0.0269,,,0.0,0.0
Argentina,2020-06-16,30282.0,674.0,9070.0,815.0,0.0269,,,0.0,0.0
Argentina,2020-06-17,34146.0,760.0,10161.0,878.0,0.0257,,,3864.0,63.0
Argentina,2020-06-18,35539.0,791.0,10499.0,913.0,0.0257,,,1393.0,35.0
Argentina,2020-06-19,37497.0,834.0,10708.0,948.0,0.0253,,,1958.0,35.0
Argentina,2020-06-20,39557.0,880.0,11838.0,979.0,0.0247,,,2060.0,31.0
Argentina,2020-06-21,39557.0,880.0,11838.0,979.0,0.0247,,,0.0,0.0
Argentina,2020-06-22,41191.0,917.0,12193.0,992.0,0.0241,,,1634.0,13.0
Argentina,2020-06-23,42772.0,952.0,12715.0,1011.0,0.0236,,,1581.0,19.0
Argentina,2020-06-24,47190.0,1050.0,13563.0,1078.0,0.0228,,,4418.0,67.0
Argentina,2020-06-25,49838.0,1109.0,13803.0,1116.0,0.0224,,,2648.0,38.0
Argentina,2020-06-26,52444.0,1167.0,14775.0,1150.0,0.0219,,,2606.0,34.0
Argentina,2020-06-27,55330.0,1231.0,18403.0,1184.0,0.0214,,,2886.0,34.0
Argentina,2020-06-28,55330.0,1231.0,18403.0,1184.0,0.0214,,,0.0,0.0
Argentina,2020-06-29,59920.0,1333.0,20121.0,1232.0,0.0206,,,4590.0,48.0
Argentina,2020-06-30,62255.0,1385.0,21125.0,1280.0,0.0206,,,2335.0,48.0
Argentina,2020-07-01,62255.0,1385.0,21125.0,1280.0,0.0206,,,0.0,0.0
Argentina,2020-07-02,64517.0,1436.0,22028.0,1307.0,0.0203,,,2262.0,27.0
Argentina,2020-07-03,69928.0,1556.0,0.0,1385.0,0.0198,,,5411.0,78.0
Argentina,2020-07-04,72773.0,1619.0,245211.0,1437.0,0.0197,,,2845.0,52.0
Argentina,2020-07-05,75363.0,1677.0,0.0,1481.0,0.0197,,,2590.0,44.0
Argentina,2020-07-06,77802.0,1731.0,27584.0,1507.0,0.0194,,,2439.0,26.0
Argentina,2020-07-07,80434.0,1790.0,28518.0,1582.0,0.0197,,,2632.0,75.0
Argentina,2020-07-09,87017.0,1936.0,0.0,1694.0,0.0195,,,6583.0,112.0
Argentina,2020-07-10,90680.0,2018.0,38300.0,1720.0,0.019,,,3663.0,26.0
Argentina,2020-07-11,94047.0,2093.0,38971.0,1774.0,0.0189,,,3367.0,54.0
Argentina,2020-07-12,97496.0,2170.0,0.0,1810.0,0.0186,,,3449.0,36.0
Argentina,2020-07-14,103252.0,2298.0,0.0,1903.0,0.0184,,,5756.0,93.0
Argentina,2020-07-15,106897.0,2379.0,0.0,1968.0,0.0184,,,3645.0,65.0
