Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Curaçao,2020-03-31,11.0,73.51,2.0,1.0,0.090909091,0.0,0.0
Curaçao,2020-04-01,11.0,73.51,2.0,1.0,0.09090909090909093,0.0,0.0
Curaçao,2020-04-02,11.0,73.51,2.0,1.0,0.09090909090909093,0.0,0.0
Curaçao,2020-04-03,11.0,73.51,2.0,1.0,0.09090909090909093,0.0,0.0
Curaçao,2020-04-07,13.0,81.93,5.0,1.0,0.07692307692307693,2.0,0.0
Curaçao,2020-04-10,14.0,88.24,7.0,1.0,0.07142857142857142,1.0,0.0
Curaçao,2020-04-11,14.0,88.24,7.0,1.0,0.07142857142857142,0.0,0.0
Curaçao,2020-04-12,14.0,88.24,7.0,1.0,0.07142857142857142,0.0,0.0
Curaçao,2020-04-14,14.0,88.24,7.0,1.0,0.07142857142857142,0.0,0.0
,2020-04-17,,,,,,,
,2020-04-18,,,,,,,
Curaçao,2020-04-20,14.0,88.24,11.0,1.0,0.07142857142857142,,
Curaçao,2020-04-22,14.0,88.24,11.0,1.0,0.07142857142857142,0.0,0.0
Curaçao,2020-04-23,14.0,88.24,11.0,1.0,0.07142857142857142,0.0,0.0
Curaçao,2020-04-24,14.0,88.24,11.0,1.0,0.07142857142857142,0.0,0.0
Curaçao,2020-04-25,16.0,100.84,12.0,1.0,0.0625,2.0,0.0
Curaçao,2020-04-26,16.0,100.84,12.0,1.0,0.0625,0.0,0.0
Curaçao,2020-04-27,16.0,100.84,12.0,1.0,0.0625,0.0,0.0
Curaçao,2020-04-28,16.0,100.84,12.0,1.0,0.0625,0.0,0.0
Curaçao,2020-04-29,16.0,100.84,12.0,1.0,0.0625,0.0,0.0
Curaçao,2020-04-30,16.0,100.84,12.0,1.0,0.0625,0.0,0.0
Curaçao,2020-05-01,16.0,101.0,13.0,1.0,0.0625,0.0,0.0
Curaçao,2020-05-02,16.0,101.0,13.0,1.0,0.0625,0.0,0.0
Curaçao,2020-05-03,16.0,101.0,13.0,1.0,0.0625,0.0,0.0
Curaçao,2020-05-04,16.0,101.0,13.0,1.0,0.0625,0.0,0.0
Curaçao,2020-05-05,16.0,101.0,13.0,1.0,0.0625,0.0,0.0
Curaçao,2020-05-06,16.0,101.0,13.0,1.0,0.0625,0.0,0.0
Curaçao,2020-05-07,16.0,101.0,13.0,1.0,0.0625,0.0,0.0
Curaçao,2020-05-08,16.0,101.0,14.0,1.0,0.0625,0.0,0.0
Curaçao,2020-05-09,16.0,101.0,14.0,1.0,0.0625,0.0,0.0
Curaçao,2020-05-10,16.0,101.0,14.0,1.0,0.0625,0.0,0.0
Curaçao,2020-05-11,16.0,101.0,14.0,1.0,0.0625,0.0,0.0
Curaçao,2020-05-12,16.0,101.0,14.0,1.0,0.0625,0.0,0.0
Curaçao,2020-05-13,16.0,101.0,14.0,1.0,0.0625,0.0,0.0
Curaçao,2020-05-15,16.0,101.0,14.0,1.0,0.0625,0.0,0.0
Curaçao,2020-05-16,16.0,101.0,14.0,1.0,0.0625,0.0,0.0
Curaçao,2020-05-17,16.0,101.0,14.0,1.0,0.0625,0.0,0.0
Curaçao,2020-05-18,16.0,101.0,14.0,1.0,0.0625,0.0,0.0
Curaçao,2020-05-19,16.0,101.0,14.0,1.0,0.0625,0.0,0.0
Curaçao,2020-05-20,16.0,101.0,14.0,1.0,0.0625,0.0,0.0
,2020-05-21,,,,,,,
Curaçao,2020-05-22,16.0,101.0,14.0,1.0,0.0625,,
Curaçao,2020-05-23,16.0,101.0,14.0,1.0,0.0625,0.0,0.0
Curaçao,2020-05-24,17.0,107.0,14.0,1.0,0.05882352941176471,1.0,0.0
Curaçao,2020-05-25,17.0,107.0,14.0,1.0,0.05882352941176471,0.0,0.0
Curaçao,2020-05-26,18.0,113.0,14.0,1.0,0.05555555555555555,1.0,0.0
Curaçao,2020-05-27,18.0,113.0,14.0,1.0,0.05555555555555555,0.0,0.0
Curaçao,2020-05-28,18.0,113.0,14.0,1.0,0.05555555555555555,0.0,0.0
Curaçao,2020-05-29,18.0,113.0,14.0,1.0,0.05555555555555555,0.0,0.0
Curaçao,2020-05-30,19.0,120.0,14.0,1.0,0.05263157894736842,1.0,0.0
Curaçao,2020-05-31,19.0,120.0,14.0,1.0,0.05263157894736842,0.0,0.0
Curaçao,2020-06-01,19.0,120.0,14.0,1.0,0.05263157894736842,0.0,0.0
Curaçao,2020-06-02,19.0,120.0,14.0,1.0,0.05263157894736842,0.0,0.0
Curaçao,2020-06-03,20.0,126.0,15.0,1.0,0.05,1.0,0.0
Curaçao,2020-06-04,21.0,132.0,15.0,1.0,0.0476,1.0,0.0
Curaçao,2020-06-05,21.0,132.0,15.0,1.0,0.0476,0.0,0.0
Curaçao,2020-06-06,21.0,132.0,15.0,1.0,0.0476,0.0,0.0
Curaçao,2020-06-07,21.0,132.0,16.0,1.0,0.0476,0.0,0.0
Curaçao,2020-06-08,21.0,132.0,16.0,1.0,0.0476,0.0,0.0
Curaçao,2020-06-09,21.0,132.0,16.0,1.0,0.0476,0.0,0.0
Curaçao,2020-06-10,21.0,132.0,16.0,1.0,0.0476,0.0,0.0
Curaçao,2020-06-12,22.0,139.0,16.0,1.0,0.0455,1.0,0.0
Curaçao,2020-06-13,22.0,139.0,16.0,1.0,0.0455,0.0,0.0
Curaçao,2020-06-14,22.0,139.0,16.0,1.0,0.0455,0.0,0.0
Curaçao,2020-06-15,22.0,139.0,16.0,1.0,0.0455,0.0,0.0
Curaçao,2020-06-16,22.0,139.0,16.0,1.0,0.0455,0.0,0.0
Curaçao,2020-06-17,23.0,145.0,19.0,1.0,0.0435,1.0,0.0
Curaçao,2020-06-18,23.0,145.0,19.0,1.0,0.0435,0.0,0.0
Curaçao,2020-06-19,23.0,145.0,19.0,1.0,0.0435,0.0,0.0
Curaçao,2020-06-20,23.0,145.0,19.0,1.0,0.0435,0.0,0.0
Curaçao,2020-06-21,23.0,145.0,19.0,1.0,0.0435,0.0,0.0
Curaçao,2020-06-22,23.0,145.0,19.0,1.0,0.0435,0.0,0.0
Curaçao,2020-06-23,23.0,145.0,19.0,1.0,0.0435,0.0,0.0
Curaçao,2020-06-24,23.0,145.0,19.0,1.0,0.0435,0.0,0.0
Curaçao,2020-06-25,23.0,145.0,19.0,1.0,0.0435,0.0,0.0
Curaçao,2020-06-26,23.0,145.0,19.0,1.0,0.0435,0.0,0.0
Curaçao,2020-06-27,23.0,145.0,19.0,1.0,0.0435,0.0,0.0
Curaçao,2020-06-28,23.0,145.0,19.0,1.0,0.0435,0.0,0.0
Curaçao,2020-06-29,23.0,145.0,19.0,1.0,0.0435,0.0,0.0
Curaçao,2020-06-30,23.0,145.0,19.0,1.0,0.0435,0.0,0.0
Curaçao,2020-07-01,23.0,145.0,19.0,1.0,0.0435,0.0,0.0
Curaçao,2020-07-02,24.0,151.0,0.0,1.0,0.0417,1.0,0.0
Curaçao,2020-07-03,25.0,158.0,23.0,1.0,0.04,1.0,0.0
