Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewConfirmed,NewDeaths
Ecuador,2020-03-31,1890,114.16,3.0,57,0.03015873,,0,0
Ecuador,2020-04-01,1966,118.75,3.0,62,0.03153611393692777,,76,5
Ecuador,2020-04-02,2748,165.99,58.0,93,0.03384279475982533,,782,31
Ecuador,2020-04-03,3163,191.06,65.0,120,0.0379386658235852,,415,27
Ecuador,2020-04-07,3747,214.65,100.0,191,0.05097411262343208,,584,71
Ecuador,2020-04-10,4965,284.42,339.0,272,0.054783484390735146,,1218,81
Ecuador,2020-04-11,7161,410.21,368.0,297,0.04147465437788018,,2196,25
Ecuador,2020-04-12,7257,415.71,411.0,315,0.0434063662670525,,96,18
Ecuador,2020-04-14,7529,431.3,597.0,355,0.04715101607119139,,272,40
Ecuador,2020-04-17,8225,471.17,838.0,403,0.04899696048632219,,696,48
Ecuador,2020-04-18,8450,484.05,922.0,421,0.049822485207100586,,225,18
Ecuador,2020-04-20,9468,542.37,1061.0,474,0.050063371356147024,,1018,53
Ecuador,2020-04-22,10398,595.64,1207.0,520,0.05000961723408348,,930,46
Ecuador,2020-04-23,10850,621.54,1262.0,537,0.049493087557603684,,452,17
Ecuador,2020-04-24,11183,640.61,1328.0,560,0.05007600822677278,,333,23
Ecuador,2020-04-25,22719,1301.45,1366.0,576,0.02535322857520137,,11536,16
Ecuador,2020-04-26,22719,1301.45,1366.0,576,0.02535322857520137,,0,0
Ecuador,2020-04-27,22719,1301.45,1366.0,576,0.02535322857520137,,0,0
Ecuador,2020-04-28,23240,1331.29,1557.0,663,0.028528399311531838,,521,87
Ecuador,2020-04-29,24258,1389.61,1557.0,871,0.03590568060021436,,1018,208
Ecuador,2020-04-30,24258,1389.61,1557.0,871,0.03590568060021436,,0,0
Ecuador,2020-05-01,24934,1428.0,1806.0,900,0.03609529156974412,,676,29
Ecuador,2020-05-02,26336,1509.0,1913.0,1063,0.04036300121506683,,1402,163
Ecuador,2020-05-03,27464,1573.0,2132.0,1371,0.04991989513545005,,1128,308
Ecuador,2020-05-04,27464,1573.0,2132.0,1371,0.04991989513545005,,0,0
Ecuador,2020-05-05,31881,1826.0,3433.0,1569,0.04921426555001412,,4417,198
Ecuador,2020-05-06,31881,1826.0,3433.0,1569,0.04921426555001412,,0,0
Ecuador,2020-05-07,29420,1685.0,3433.0,1618,0.05499660095173352,,0,49
Ecuador,2020-05-08,30298,1736.0,3433.0,1654,0.05459106211631131,,878,36
Ecuador,2020-05-09,28818,1651.0,3433.0,1704,0.0591297105975432,,0,50
